,CustomerID,recencia,frecuencia,monto,cluster
2350,15545.0,54,2,292.71999999999997,3
1674,14626.0,24,4,2791.27,3
1903,14952.0,60,11,8099.49,2
1065,13787.0,76,2,309.04,3
3780,17521.0,30,3,723.2099999999999,3
828,13458.0,7,14,9646.57,2
971,13655.0,114,2,932.97,3
3549,17198.0,24,3,692.22,3
282,12693.0,127,4,855.91,3
343,12772.0,60,1,892.47,3
1944,15016.0,173,1,170.04,3
1424,14286.0,24,3,4628.75,3
1448,14320.0,207,2,477.79,1
212,12610.0,23,5,2099.54,3
839,13474.0,236,1,229.59,1
1611,14537.0,58,1,355.56,3
3978,17788.0,74,2,1117.9,3
1658,14600.0,306,1,393.33,1
2394,15605.0,36,5,1198.23,3
156,12541.0,30,3,981.18,3
246,12648.0,155,1,318.05,3
3171,16678.0,3,12,3109.99,3
3718,17434.0,2,7,2373.82,3
2299,15478.0,40,2,1441.42,3
154,12539.0,22,4,5568.35,3
2124,15241.0,67,8,1756.44,3
2934,16350.0,21,4,1116.47,3
683,13253.0,157,2,1030.4,3
195,12589.0,29,2,646.68,3
783,13389.0,11,3,797.96,3
461,12942.0,131,3,683.9,3
4316,18255.0,89,1,103.3,3
1810,14816.0,197,1,271.85,1
2535,15796.0,1,8,2711.56,3
99,12468.0,188,2,729.5400000000001,1
3401,16984.0,88,2,4481.35,3
1888,14924.0,246,1,310.05,1
4100,17958.0,117,1,508.4599999999999,3
3408,16992.0,11,5,1614.31,3
4310,18246.0,24,2,596.1,3
1904,14953.0,25,1,289.82,3
4142,18016.0,32,5,1483.56,3
172,12562.0,8,7,3781.74,3
1207,13984.0,27,5,920.51,3
1209,13986.0,17,1,320.46,3
2989,16419.0,113,6,972.23,3
1362,14199.0,218,1,185.4,1
520,13028.0,23,2,661.3199999999999,3
3212,16730.0,52,3,743.11,3
3872,17649.0,138,1,868.49,3
3614,17295.0,29,3,556.95,3
868,13507.0,3,4,2479.16,3
823,13451.0,26,5,2976.15,3
770,13368.0,257,2,623.4,1
2313,15500.0,8,4,1131.56,3
2593,15867.0,5,15,3812.64,2
1251,14045.0,109,4,1659.75,3
186,12580.0,247,1,415.7,1
1176,13939.0,23,3,568.55,3
3086,16556.0,67,7,3313.79,3
2524,15781.0,25,3,345.46,3
1596,14518.0,64,1,174.37,3
1162,13924.0,2,6,1838.85,3
2864,16244.0,212,2,1522.75,1
2980,16407.0,13,10,2126.93,3
3661,17362.0,239,2,312.23,1
4221,18127.0,19,3,348.73,3
768,13365.0,34,2,2225.37,3
2382,15589.0,256,3,478.53,1
976,13662.0,86,3,897.76,3
608,13147.0,10,4,712.8000000000001,3
3334,16893.0,367,1,145.93,1
73,12435.0,80,2,7829.89,2
2253,15416.0,65,4,3984.32,3
1505,14404.0,34,6,1474.32,3
4067,17913.0,59,2,411.6,3
1501,14397.0,3,19,2612.96,2
2536,15797.0,113,4,2207.4,3
4001,17829.0,299,1,889.24,1
2850,16225.0,45,5,1096.32,3
1231,14019.0,47,3,1421.61,3
3007,16445.0,34,1,230.51,3
4104,17964.0,32,2,471.7,3
2819,16185.0,17,2,529.41,3
2810,16175.0,94,4,1037.59,3
1761,14745.0,113,5,1220.26,3
616,13159.0,9,4,1437.85,3
3654,17354.0,51,1,1393.06,3
1826,14841.0,53,6,3295.76,3
516,13021.0,4,9,2616.38,3
4250,18170.0,33,3,980.31,3
2098,15211.0,60,2,894.4100000000001,3
114,12489.0,336,1,334.93,1
3277,16811.0,5,2,547.07,3
1159,13919.0,59,2,384.81,3
755,13349.0,11,1,247.32,3
4020,17856.0,2,4,1418.03,3
370,12817.0,281,1,166.04,1
2537,15799.0,76,3,884.14,3
9,12356.0,23,3,2811.43,3
637,13187.0,337,1,236.02,1
2679,16003.0,30,5,2735.37,3
2979,16406.0,19,1,163.07,3
182,12576.0,36,5,1315.83,3
480,12970.0,7,4,452.24,3
3129,16618.0,31,5,2647.59,3
3520,17157.0,8,2,319.0,3
766,13363.0,18,2,992.5,3
1483,14368.0,320,1,155.0,1
3838,17602.0,2,6,5102.97,3
3746,17472.0,191,3,710.29,1
988,13681.0,18,4,827.83,3
4197,18096.0,12,3,911.15,3
1525,14427.0,50,2,363.34,3
2182,15318.0,4,1,312.62,3
3658,17359.0,11,1,127.86,3
2111,15225.0,234,1,409.4,1
1387,14232.0,43,5,2048.07,3
1342,14167.0,39,4,574.84,3
3779,17520.0,54,1,546.81,3
1068,13792.0,66,2,195.55,3
34,12388.0,16,6,2780.66,3
2243,15402.0,149,2,626.77,3
3492,17114.0,6,8,808.62,3
2337,15528.0,254,1,229.33,1
1710,14673.0,3,5,1736.4,3
1205,13982.0,39,4,1871.81,3
699,13273.0,113,1,138.98,3
348,12782.0,5,5,2330.92,3
3038,16484.0,174,2,404.3,1
4228,18139.0,18,6,8438.34,2
1091,13822.0,6,2,632.0,3
1060,13780.0,7,2,360.01,3
4111,17972.0,242,1,136.04,1
3972,17779.0,21,3,658.57,3
3466,17076.0,36,3,841.0799999999999,3
2015,15103.0,31,2,703.36,3
1513,14413.0,362,1,122.7,1
3361,16928.0,80,17,2847.6,2
3295,16835.0,128,2,180.85,3
18,12365.0,291,2,641.38,1
4009,17839.0,42,1,338.8,3
1221,14002.0,134,2,529.73,3
413,12873.0,282,1,374.0,1
908,13564.0,144,3,1749.02,3
2364,15565.0,50,2,173.16,3
2026,15115.0,18,1,340.11,3
2995,16427.0,263,2,241.06,1
628,13174.0,16,3,2817.03,3
3031,16475.0,88,4,544.3,3
4170,18062.0,173,3,720.52,1
72,12434.0,85,2,806.14,3
203,12598.0,10,8,3023.08,3
797,13411.0,107,1,213.55,3
4309,18245.0,7,7,2567.06,3
1792,14790.0,17,4,745.06,3
2271,15440.0,55,3,383.68,3
3514,17147.0,23,4,1714.59,3
3270,16804.0,23,3,536.99,3
882,13522.0,30,1,125.8,3
