,CustomerID,recencia,frecuencia,monto,cluster,segmento
1,12347.0,2,7,4310.0,2,Clientes VIP
2,12348.0,75,4,1797.24,1,Clientes nuevos
3,12349.0,19,1,1757.55,1,Clientes nuevos
4,12350.0,310,1,334.4,0,Clientes dormidos
5,12352.0,36,8,2506.04,1,Clientes nuevos
6,12353.0,204,1,89.0,0,Clientes dormidos
7,12354.0,232,1,1079.4,0,Clientes dormidos
8,12355.0,214,1,459.4,0,Clientes dormidos
9,12356.0,23,3,2811.43,1,Clientes nuevos
10,12357.0,33,1,6207.67,2,Clientes VIP
11,12358.0,2,2,1168.06,1,Clientes nuevos
12,12359.0,58,4,6372.58,2,Clientes VIP
13,12360.0,52,3,2662.06,1,Clientes nuevos
14,12361.0,287,1,189.9,0,Clientes dormidos
15,12362.0,3,10,5226.23,2,Clientes VIP
16,12363.0,110,2,552.0,1,Clientes nuevos
17,12364.0,8,4,1313.1,1,Clientes nuevos
18,12365.0,291,2,641.38,0,Clientes dormidos
19,12367.0,4,1,168.9,1,Clientes nuevos
20,12370.0,51,4,3545.69,1,Clientes nuevos
21,12371.0,45,2,1887.96,1,Clientes nuevos
22,12372.0,72,3,1298.04,1,Clientes nuevos
23,12373.0,311,1,364.6,0,Clientes dormidos
24,12374.0,25,1,742.9300000000001,1,Clientes nuevos
25,12375.0,11,2,457.5,1,Clientes nuevos
26,12377.0,315,2,1628.12,0,Clientes dormidos
27,12378.0,130,1,4008.62,1,Clientes nuevos
28,12379.0,82,2,852.24,1,Clientes nuevos
29,12380.0,22,4,2724.81,1,Clientes nuevos
30,12381.0,5,5,1845.31,1,Clientes nuevos
31,12383.0,185,5,1850.56,0,Clientes dormidos
32,12384.0,29,2,585.27,1,Clientes nuevos
33,12386.0,338,2,401.9,0,Clientes dormidos
34,12388.0,16,6,2780.66,1,Clientes nuevos
35,12390.0,80,1,549.84,1,Clientes nuevos
36,12391.0,22,1,460.89,1,Clientes nuevos
37,12393.0,72,4,1582.6,1,Clientes nuevos
38,12394.0,64,2,1272.48,1,Clientes nuevos
39,12395.0,19,12,3018.63,2,Clientes VIP
40,12397.0,36,2,2409.9,1,Clientes nuevos
41,12398.0,46,1,1635.66,1,Clientes nuevos
42,12399.0,119,4,1108.65,1,Clientes nuevos
43,12401.0,303,1,84.3,0,Clientes dormidos
44,12402.0,323,1,225.6,0,Clientes dormidos
45,12403.0,50,1,427.7,1,Clientes nuevos
46,12405.0,149,1,1710.39,0,Clientes dormidos
47,12406.0,22,2,3415.3,1,Clientes nuevos
48,12407.0,50,5,1708.12,1,Clientes nuevos
49,12408.0,33,5,2888.55,1,Clientes nuevos
50,12409.0,79,3,11072.67,2,Clientes VIP
51,12410.0,309,2,693.3299999999999,0,Clientes dormidos
52,12412.0,75,3,1226.88,1,Clientes nuevos
53,12413.0,67,3,758.1,1,Clientes nuevos
54,12414.0,217,3,562.41,0,Clientes dormidos
56,12417.0,3,9,3649.1,2,Clientes VIP
57,12418.0,113,1,668.58,1,Clientes nuevos
58,12420.0,64,1,600.39,1,Clientes nuevos
59,12421.0,16,4,807.04,1,Clientes nuevos
60,12422.0,96,3,803.5600000000001,1,Clientes nuevos
61,12423.0,1,8,1859.31,1,Clientes nuevos
62,12424.0,163,2,1760.96,0,Clientes dormidos
63,12425.0,78,1,777.2,1,Clientes nuevos
64,12426.0,195,1,582.73,0,Clientes dormidos
65,12427.0,22,3,825.8,1,Clientes nuevos
66,12428.0,26,9,7956.46,2,Clientes VIP
67,12429.0,9,4,3750.4,1,Clientes nuevos
68,12430.0,43,1,256.4,1,Clientes nuevos
69,12431.0,36,15,6487.45,2,Clientes VIP
70,12432.0,43,5,5059.32,2,Clientes VIP
72,12434.0,85,2,806.14,1,Clientes nuevos
73,12435.0,80,2,7829.89,2,Clientes VIP
74,12436.0,100,1,509.01,1,Clientes nuevos
75,12437.0,2,18,4951.41,2,Clientes VIP
76,12438.0,14,2,2906.85,1,Clientes nuevos
77,12441.0,367,1,173.55,0,Clientes dormidos
78,12442.0,3,1,172.06,1,Clientes nuevos
79,12444.0,21,5,5005.46,2,Clientes VIP
80,12445.0,22,1,133.4,1,Clientes nuevos
81,12446.0,58,1,1002.31,1,Clientes nuevos
82,12447.0,243,1,476.49,0,Clientes dormidos
83,12448.0,44,1,449.45,1,Clientes nuevos
84,12449.0,22,4,4067.29,1,Clientes nuevos
85,12450.0,156,2,197.88,0,Clientes dormidos
86,12451.0,11,5,9035.52,2,Clientes VIP
87,12452.0,17,2,430.57,1,Clientes nuevos
88,12453.0,134,1,707.09,1,Clientes nuevos
89,12454.0,56,1,3528.34,1,Clientes nuevos
90,12455.0,73,6,2466.86,1,Clientes nuevos
