,404,654,12,449,275,415,536,302,233,392,180,278,428,845,6,93,681,307,292,91,221,200,58,434,377,879,416,895,591,795,757,560,129,405,550,333,803,267,473,888,268,726,398,641,915,144,362,649,150,523
Star Wars (1977),5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Contact (1997),0.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,0.0,4.0,3.0,4.0,5.0,3.0,0.0,3.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,3.0,3.0,5.0,0.0
Fargo (1996),0.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,3.0,4.0,5.0,0.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,3.0,0.0,5.0,5.0,5.0,4.0,3.0,5.0
Return of the Jedi (1983),5.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,0.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0
Liar Liar (1997),0.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,3.0,3.0,5.0,0.0,5.0,3.0,4.0,0.0,5.0,3.0,3.0,3.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0
"English Patient, The (1996)",0.0,3.0,3.0,4.0,0.0,5.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,5.0,5.0
Scream (1996),5.0,3.0,1.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,0.0,4.0,0.0,5.0,0.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0
Toy Story (1995),0.0,2.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,5.0,4.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,0.0
Air Force One (1997),0.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
Independence Day (ID4) (1996),0.0,3.0,5.0,3.0,4.0,5.0,1.0,3.0,0.0,4.0,4.0,4.0,3.0,0.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0
Raiders of the Lost Ark (1981),5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
"Godfather, The (1972)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,5.0,5.0,4.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0
Pulp Fiction (1994),4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,0.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0
Twelve Monkeys (1995),0.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,0.0,0.0,4.0,5.0,3.0,4.0,4.0,2.0
"Silence of the Lambs, The (1991)",4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,5.0,5.0,3.0,4.0,4.0,3.0
Jerry Maguire (1996),0.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,0.0,3.0,0.0,5.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0,5.0,4.0,5.0,4.0,0.0,5.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,3.0,5.0,3.0,5.0,2.0,0.0,0.0,3.0
"Rock, The (1996)",0.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,5.0,2.0,0.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,0.0,4.0,4.0,4.0,0.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,0.0,3.0
"Empire Strikes Back, The (1980)",5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,0.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0
Star Trek: First Contact (1996),0.0,2.0,3.0,3.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,3.0,5.0,5.0,4.0,5.0,2.0
Titanic (1997),4.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,5.0,4.0,4.0,0.0,5.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,5.0,4.0,0.0,0.0
Back to the Future (1985),5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,0.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,0.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,0.0,2.0,4.0,4.0,3.0
Mission: Impossible (1996),0.0,2.0,2.0,4.0,3.0,5.0,2.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,0.0,3.0,2.0
"Fugitive, The (1993)",5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,0.0,4.0,3.0,0.0,3.0,5.0,2.0,3.0,4.0,4.0
Indiana Jones and the Last Crusade (1989),5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,3.0,5.0,4.0,0.0,4.0,3.0,4.0,3.0
Willy Wonka and the Chocolate Factory (1971),0.0,0.0,0.0,5.0,5.0,3.0,2.0,5.0,3.0,0.0,2.0,4.0,5.0,0.0,4.0,5.0,5.0,4.0,4.0,0.0,3.0,0.0,5.0,3.0,3.0,4.0,5.0,0.0,4.0,5.0,5.0,2.0,0.0,2.0,0.0,4.0,3.0,3.0,3.0,3.0,5.0,0.0,2.0,3.0,3.0,0.0,4.0,3.0,5.0,1.0
"Princess Bride, The (1987)",5.0,0.0,2.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,0.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
Forrest Gump (1994),4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,0.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0
Monty Python and the Holy Grail (1974),1.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,0.0,4.0,4.0,5.0,3.0
"Saint, The (1997)",0.0,0.0,4.0,4.0,3.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,2.0,5.0,1.0,2.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0
"Full Monty, The (1997)",0.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,0.0,0.0,1.0,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0
Men in Black (1997),0.0,3.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,4.0,0.0,0.0,4.0,5.0,4.0,3.0,4.0,0.0,2.0,0.0,5.0,3.0,5.0,2.0,3.0,0.0,0.0
"Terminator, The (1984)",5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,0.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0
